오정남,710807-1150596,M83233317,gyeongja61@hotmail.com,대전광역시 광진구 영동대길 (병철김읍),010-7866-2397,20-87-125095-83,22499292,49,181,91,자동차충돌에 의한 가해 농장
최혜진,410300-1893237,M59663421,boramgim@hotmail.com,경기도 광주시 삼성830가 (영식심읍),010-3146-8007,14-15-737268-33,55185783,79,158,74,자외선에 의한 기타 명시된 급성 피부변화
이종수,410206-1362576,M64617577,miyeongyang@live.com,인천광역시 중랑구 테헤란44가 (영희한박리),010-6517-8386,22-89-501847-43,71987817,79,178,88,초점성 맥락망막염증
김현숙,750306-1467533,M51764894,rha@nate.com,경상북도 용인시 서초대거리 (영수김문리),010-6491-2875,15-72-686458-42,43456499,45,176,65,연골외배엽형성이상
이순옥,420705-2067936,M94436176,gimminjae@dreamwiz.com,경상남도 연천군 압구정길 (지연박최동),010-7060-0343,16-89-740070-74,63342833,78,170,55,잠함병에서의 골괴사(T70.3†) 아래다리
최현우,600521-2784291,M79366874,gimhyeonji@naver.com,강원도 고양시 서초중앙로 (춘자윤마을),010-7431-6546,24-66-839518-12,32429574,60,160,79,혈질(血膣)
김성진,970323-2118689,M37150366,yeonghyi62@gmail.com,대전광역시 강북구 백제고분거리,010-5719-5573,23-61-879647-41,30594323,23,174,56,골반출구수축으로 인한 불균형에 대한 산모관리
이영철,940928-1914960,M85897805,yeongceolgim@daum.net,충청남도 광명시 봉은사9길 (채원이면),010-7594-7749,12-86-112755-73,76318188,26,173,67,다른 장에서 분류된 질환의 원인으로서의 상세불명의 포도구균
강정자,870014-1444305,M28981501,seungminbag@live.com,충청남도 홍성군 봉은사09로,010-0927-1480,22-82-490119-84,60327824,33,161,76,천공이 있는 급성 상세불명 부위의 소화성 궤양
김준영,710104-2302709,M31649922,ki@gmail.com,경상북도 평택시 언주거리 (준서이박면),010-2655-8287,14-94-529248-53,76312607,49,169,88,이질이질균에 의한 시겔라증
